xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  10.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   0.986326
Cy    = ,  -0.000000
Cd=,   0.035017,ICd=,    0.035017,PCd=,    0.000000
Cl   = ,-3.42881e-16
Cm   =,    -1.12589
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.506314, YCP=,    0.000000, ZCP=,    0.333638 
XNP=,    0.000000
Bending =, 3798.244255

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7873,   0.9851, -9.060, 0.255214, 0.000000, 0.040694,-1.482887, 0.004931, 0.0000, 0.0000, 0.2355, 0.0000
   -8.7526,   0.9935, -6.421, 0.425231, 0.000000, 0.047845,-2.104694,-0.010321, 0.0000, 0.0000, 0.2698, 0.0095
   -8.6834,   1.0102, -5.456, 0.588442, 0.000000, 0.056181,-2.637806,-0.002852, 0.0000, 0.0000, 0.2511, 0.1237
   -8.5799,   1.0352, -4.655, 0.727528, 0.000000, 0.059206,-3.123789,-0.008445, 0.0000, 0.0000, 0.2579, 0.6278
   -8.4426,   1.0684, -3.994, 0.840097, 0.000000, 0.058614,-3.464359,-0.017716, 0.0000, 0.0000, 0.2675, 2.0784
   -8.2719,   1.1096, -3.445, 0.927057, 0.000000, 0.055756,-3.641172,-0.027110, 0.0000, 0.0000, 0.2756, 5.3609
   -8.0686,   1.1587, -2.987, 0.990991, 0.000000, 0.051656,-3.670576,-0.035118, 0.0000, 0.0000, 0.2818,11.7248
   -7.8334,   1.2155, -2.614, 1.035470, 0.000000, 0.047206,-3.583139,-0.041277, 0.0000, 0.0000, 0.2862,22.7996
   -7.5674,   1.2798, -2.323, 1.064350, 0.000000, 0.043090,-3.412391,-0.045712, 0.0000, 0.0000, 0.2892,40.5957
   -7.2714,   1.3513, -2.107, 1.081165, 0.000000, 0.039681,-3.187978,-0.048788, 0.0000, 0.0000, 0.2914,67.4960
   -6.9468,   1.4297, -1.957, 1.088811, 0.000000, 0.037098,-2.933349,-0.050879, 0.0000, 0.0000, 0.2929,106.2373
   -6.5947,   1.5148, -1.860, 1.089481, 0.000000, 0.035269,-2.665787,-0.052279, 0.0000, 0.0000, 0.2942,159.8832
   -6.2166,   1.6061, -1.807, 1.084819, 0.000000, 0.034103,-2.397386,-0.053211, 0.0000, 0.0000, 0.2952,231.7851
   -5.8140,   1.7034, -1.788, 1.075969, 0.000000, 0.033456,-2.136195,-0.053825, 0.0000, 0.0000, 0.2961,325.5313
   -5.3885,   1.8062, -1.795, 1.063726, 0.000000, 0.033200,-1.887301,-0.054226, 0.0000, 0.0000, 0.2971,444.8815
   -4.9416,   1.9142, -1.823, 1.048620, 0.000000, 0.033222,-1.653696,-0.054489, 0.0000, 0.0000, 0.2980,593.6875
   -4.4753,   2.0268, -1.866, 1.030984, 0.000000, 0.033425,-1.436991,-0.054660, 0.0000, 0.0000, 0.2990,775.7986
   -3.9913,   2.1437, -1.920, 1.010987, 0.000000, 0.033707,-1.237744,-0.054794, 0.0000, 0.0000, 0.3002,994.9537
   -3.4916,   2.2645, -1.981, 0.988692, 0.000000, 0.033987,-1.055941,-0.054953, 0.0000, 0.0000, 0.3015,1254.6615
   -2.9781,   2.3885, -2.045, 0.964041, 0.000000, 0.034160,-0.891196,-0.055224, 0.0000, 0.0000, 0.3032,1558.0709
   -2.4528,   2.5154, -2.104, 0.936877, 0.000000, 0.034104,-0.742987,-0.055756, 0.0000, 0.0000, 0.3054,1907.8345
   -1.9178,   2.6447, -2.150, 0.906926, 0.000000, 0.033647,-0.610793,-0.056854, 0.0000, 0.0000, 0.3085,2305.9690
   -1.3753,   2.7757, -2.168, 0.873715, 0.000000, 0.032512,-0.494424,-0.059105, 0.0000, 0.0000, 0.3133,2753.7143
   -0.8274,   2.9081, -2.128, 0.836097, 0.000000, 0.030128,-0.394479,-0.063775, 0.0000, 0.0000, 0.3217,3251.3925
   -0.2762,   3.0413, -1.942, 0.785006, 0.000000, 0.023739,-0.313759,-0.074829, 0.0000, 0.0000, 0.3394,3798.2443
    0.2762,   3.0413, -1.942, 0.785006, 0.000000, 0.023739,-0.313759,-0.074829, 0.0000, 0.0000, 0.3394,3798.2443
    0.8274,   2.9081, -2.128, 0.836097, 0.000000, 0.030128,-0.394479,-0.063775, 0.0000, 0.0000, 0.3217,3251.3925
    1.3753,   2.7757, -2.168, 0.873715, 0.000000, 0.032512,-0.494424,-0.059105, 0.0000, 0.0000, 0.3133,2753.7143
    1.9178,   2.6447, -2.150, 0.906926, 0.000000, 0.033647,-0.610793,-0.056854, 0.0000, 0.0000, 0.3085,2305.9690
    2.4528,   2.5154, -2.104, 0.936877, 0.000000, 0.034104,-0.742987,-0.055756, 0.0000, 0.0000, 0.3054,1907.8345
    2.9781,   2.3885, -2.045, 0.964041, 0.000000, 0.034160,-0.891196,-0.055224, 0.0000, 0.0000, 0.3032,1558.0709
    3.4916,   2.2645, -1.981, 0.988692, 0.000000, 0.033987,-1.055941,-0.054953, 0.0000, 0.0000, 0.3015,1254.6615
    3.9913,   2.1437, -1.920, 1.010987, 0.000000, 0.033707,-1.237744,-0.054794, 0.0000, 0.0000, 0.3002,994.9537
    4.4753,   2.0268, -1.866, 1.030984, 0.000000, 0.033425,-1.436991,-0.054660, 0.0000, 0.0000, 0.2990,775.7986
    4.9416,   1.9142, -1.823, 1.048620, 0.000000, 0.033222,-1.653696,-0.054489, 0.0000, 0.0000, 0.2980,593.6875
    5.3885,   1.8062, -1.795, 1.063726, 0.000000, 0.033200,-1.887301,-0.054226, 0.0000, 0.0000, 0.2971,444.8815
    5.8140,   1.7034, -1.788, 1.075969, 0.000000, 0.033456,-2.136195,-0.053825, 0.0000, 0.0000, 0.2961,325.5313
    6.2166,   1.6061, -1.807, 1.084819, 0.000000, 0.034103,-2.397386,-0.053211, 0.0000, 0.0000, 0.2952,231.7851
    6.5947,   1.5148, -1.860, 1.089481, 0.000000, 0.035269,-2.665787,-0.052279, 0.0000, 0.0000, 0.2942,159.8832
    6.9468,   1.4297, -1.957, 1.088811, 0.000000, 0.037098,-2.933349,-0.050879, 0.0000, 0.0000, 0.2929,106.2373
    7.2714,   1.3513, -2.107, 1.081165, 0.000000, 0.039681,-3.187978,-0.048788, 0.0000, 0.0000, 0.2914,67.4960
    7.5674,   1.2798, -2.323, 1.064350, 0.000000, 0.043090,-3.412391,-0.045712, 0.0000, 0.0000, 0.2892,40.5957
    7.8334,   1.2155, -2.614, 1.035470, 0.000000, 0.047206,-3.583139,-0.041277, 0.0000, 0.0000, 0.2862,22.7996
    8.0686,   1.1587, -2.987, 0.990991, 0.000000, 0.051656,-3.670576,-0.035118, 0.0000, 0.0000, 0.2818,11.7248
    8.2719,   1.1096, -3.445, 0.927057, 0.000000, 0.055756,-3.641172,-0.027110, 0.0000, 0.0000, 0.2756, 5.3609
    8.4426,   1.0684, -3.994, 0.840097, 0.000000, 0.058614,-3.464359,-0.017716, 0.0000, 0.0000, 0.2675, 2.0784
    8.5799,   1.0352, -4.655, 0.727528, 0.000000, 0.059206,-3.123789,-0.008445, 0.0000, 0.0000, 0.2579, 0.6278
    8.6834,   1.0102, -5.456, 0.588442, 0.000000, 0.056181,-2.637806,-0.002852, 0.0000, 0.0000, 0.2511, 0.1237
    8.7526,   0.9935, -6.421, 0.425231, 0.000000, 0.047845,-2.104694,-0.010321, 0.0000, 0.0000, 0.2698, 0.0095
    8.7873,   0.9851, -9.060, 0.255214, 0.000000, 0.040694,-1.482887, 0.004931, 0.0000, 0.0000, 0.2355, 0.0000
