xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  15.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   1.377216
Cy    = ,  -0.000000
Cd=,   0.067303,ICd=,    0.067303,PCd=,    0.000000
Cl   = ,-3.91358e-17
Cm   =,    -1.54304
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.454237, YCP=,    0.000000, ZCP=,    0.326629 
XNP=,    0.000000
Bending =, 5237.611358

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -8.7873,   0.9851,-11.739, 0.345981, 0.000000, 0.071883,-1.837319, 0.036453, 0.0000, 0.0000, 0.1670, 0.0000
   -8.7526,   0.9935, -8.388, 0.577819, 0.000000, 0.085157,-2.748728, 0.015569, 0.0000, 0.0000, 0.2238, 0.0129
   -8.6834,   1.0102, -7.313, 0.802770, 0.000000, 0.102956,-3.557913, 0.024521, 0.0000, 0.0000, 0.2165, 0.1680
   -8.5799,   1.0352, -6.372, 0.996173, 0.000000, 0.111142,-4.275659, 0.016470, 0.0000, 0.0000, 0.2303, 0.8547
   -8.4426,   1.0684, -5.545, 1.153564, 0.000000, 0.111862,-4.776397, 0.003468, 0.0000, 0.0000, 0.2441, 2.8362
   -8.2719,   1.1096, -4.825, 1.275499, 0.000000, 0.107505,-5.039891,-0.009744, 0.0000, 0.0000, 0.2548, 7.3307
   -8.0686,   1.1587, -4.205, 1.365269, 0.000000, 0.100197,-5.091642,-0.021050, 0.0000, 0.0000, 0.2626,16.0607
   -7.8334,   1.2155, -3.690, 1.427768, 0.000000, 0.091868,-4.976055,-0.029771, 0.0000, 0.0000, 0.2680,31.2747
   -7.5674,   1.2798, -3.283, 1.468383, 0.000000, 0.083996,-4.741233,-0.036069, 0.0000, 0.0000, 0.2717,55.7491
   -7.2714,   1.3513, -2.980, 1.492071, 0.000000, 0.077406,-4.429532,-0.040452, 0.0000, 0.0000, 0.2742,92.7751
   -6.9468,   1.4297, -2.768, 1.502903, 0.000000, 0.072376,-4.074384,-0.043447, 0.0000, 0.0000, 0.2760,146.1330
   -6.5947,   1.5148, -2.631, 1.503965, 0.000000, 0.068797,-3.700424,-0.045468, 0.0000, 0.0000, 0.2772,220.0540
   -6.2166,   1.6061, -2.556, 1.497557, 0.000000, 0.066495,-3.324860,-0.046832, 0.0000, 0.0000, 0.2782,319.1664
   -5.8140,   1.7034, -2.528, 1.485288, 0.000000, 0.065201,-2.959162,-0.047749, 0.0000, 0.0000, 0.2791,448.4246
   -5.3885,   1.8062, -2.538, 1.468270, 0.000000, 0.064664,-2.610571,-0.048368, 0.0000, 0.0000, 0.2798,613.0187
   -4.9416,   1.9142, -2.576, 1.447240, 0.000000, 0.064661,-2.283365,-0.048797, 0.0000, 0.0000, 0.2805,818.2636
   -4.4753,   2.0268, -2.636, 1.422666, 0.000000, 0.065002,-1.979853,-0.049101, 0.0000, 0.0000, 0.2813,1069.4685
   -3.9913,   2.1437, -2.711, 1.394777, 0.000000, 0.065487,-1.700849,-0.049359, 0.0000, 0.0000, 0.2821,1371.7875
   -3.4916,   2.2645, -2.796, 1.363653, 0.000000, 0.065949,-1.446344,-0.049662, 0.0000, 0.0000, 0.2831,1730.0527
   -2.9781,   2.3885, -2.883, 1.329199, 0.000000, 0.066178,-1.215822,-0.050133, 0.0000, 0.0000, 0.2843,2148.5951
   -2.4528,   2.5154, -2.964, 1.291172, 0.000000, 0.065920,-1.008556,-0.050991, 0.0000, 0.0000, 0.2860,2631.0547
   -1.9178,   2.6447, -3.025, 1.249135, 0.000000, 0.064816,-0.823839,-0.052677, 0.0000, 0.0000, 0.2885,3180.1854
   -1.3753,   2.7757, -3.045, 1.202287, 0.000000, 0.062269,-0.661438,-0.056044, 0.0000, 0.0000, 0.2928,3797.6573
   -0.8274,   2.9081, -2.981, 1.148479, 0.000000, 0.056999,-0.522274,-0.062937, 0.0000, 0.0000, 0.3006,4483.8538
   -0.2762,   3.0413, -2.723, 1.069737, 0.000000, 0.042269,-0.410473,-0.078953, 0.0000, 0.0000, 0.3176,5237.6114
    0.2762,   3.0413, -2.723, 1.069737, 0.000000, 0.042269,-0.410473,-0.078953, 0.0000, 0.0000, 0.3176,5237.6114
    0.8274,   2.9081, -2.981, 1.148479, 0.000000, 0.056999,-0.522274,-0.062937, 0.0000, 0.0000, 0.3006,4483.8538
    1.3753,   2.7757, -3.045, 1.202287, 0.000000, 0.062269,-0.661438,-0.056044, 0.0000, 0.0000, 0.2928,3797.6573
    1.9178,   2.6447, -3.025, 1.249135, 0.000000, 0.064816,-0.823839,-0.052677, 0.0000, 0.0000, 0.2885,3180.1854
    2.4528,   2.5154, -2.964, 1.291172, 0.000000, 0.065920,-1.008556,-0.050991, 0.0000, 0.0000, 0.2860,2631.0547
    2.9781,   2.3885, -2.883, 1.329199, 0.000000, 0.066178,-1.215822,-0.050133, 0.0000, 0.0000, 0.2843,2148.5951
    3.4916,   2.2645, -2.796, 1.363653, 0.000000, 0.065949,-1.446344,-0.049662, 0.0000, 0.0000, 0.2831,1730.0527
    3.9913,   2.1437, -2.711, 1.394777, 0.000000, 0.065487,-1.700849,-0.049359, 0.0000, 0.0000, 0.2821,1371.7875
    4.4753,   2.0268, -2.636, 1.422666, 0.000000, 0.065002,-1.979853,-0.049101, 0.0000, 0.0000, 0.2813,1069.4685
    4.9416,   1.9142, -2.576, 1.447240, 0.000000, 0.064661,-2.283365,-0.048797, 0.0000, 0.0000, 0.2805,818.2636
    5.3885,   1.8062, -2.538, 1.468270, 0.000000, 0.064664,-2.610571,-0.048368, 0.0000, 0.0000, 0.2798,613.0187
    5.8140,   1.7034, -2.528, 1.485288, 0.000000, 0.065201,-2.959162,-0.047749, 0.0000, 0.0000, 0.2791,448.4246
    6.2166,   1.6061, -2.556, 1.497557, 0.000000, 0.066495,-3.324860,-0.046832, 0.0000, 0.0000, 0.2782,319.1664
    6.5947,   1.5148, -2.631, 1.503965, 0.000000, 0.068797,-3.700424,-0.045468, 0.0000, 0.0000, 0.2772,220.0540
    6.9468,   1.4297, -2.768, 1.502903, 0.000000, 0.072376,-4.074384,-0.043447, 0.0000, 0.0000, 0.2760,146.1330
    7.2714,   1.3513, -2.980, 1.492071, 0.000000, 0.077406,-4.429532,-0.040452, 0.0000, 0.0000, 0.2742,92.7751
